epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,7001.72,1.31201,2.19027,1.27955,1.25398,0,0.56278,0.46487,0.45645,0.23486,0.54772,0.39615,0.37403,0.16323,1.79023,3.02185,1.77889,1.5899,0,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085
83,7087.37,1.2979,2.20037,1.27461,1.2504,0,0.6491,0.46146,0.48101,0.25168,0.59215,0.42696,0.4107,0.17324,1.77444,3.0138,1.74032,1.58048,0,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
84,7172.66,1.30119,2.20405,1.28208,1.24907,0,0.54574,0.53372,0.49846,0.24349,0.4587,0.46803,0.3799,0.16881,1.79385,3.09679,1.74779,1.58337,0,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791
85,7255.1,1.30684,2.23352,1.27147,1.24697,0,0.51432,0.56206,0.49313,0.24572,0.57137,0.41196,0.40427,0.17264,1.78691,3.03203,1.74715,1.57869,0,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
86,7337.54,1.323,2.21311,1.29615,1.24714,0,0.5179,0.54282,0.4707,0.23733,0.52718,0.42468,0.39153,0.16581,1.7985,3.12143,1.7663,1.58475,0,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497
87,7420.93,1.3059,2.21342,1.27173,1.24856,0,0.54279,0.51674,0.47045,0.23508,0.49433,0.45984,0.38737,0.16024,1.79656,3.07456,1.7602,1.58144,0,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
88,7505.02,1.30292,2.15797,1.26099,1.24964,0,0.5978,0.47058,0.48592,0.23586,0.54337,0.43193,0.39291,0.16096,1.78644,3.02923,1.76036,1.59668,0,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202
89,7588.05,1.28746,2.21004,1.26937,1.24351,0,0.59551,0.49118,0.50182,0.24862,0.54512,0.42157,0.39088,0.16894,1.80034,3.1165,1.73544,1.60156,0,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
90,7679.92,1.30223,2.17728,1.25536,1.2487,0,0.5379,0.58429,0.51461,0.26153,0.58392,0.42678,0.43044,0.18232,1.7829,2.99907,1.71795,1.58198,0,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908
91,7761.85,1.44012,2.31478,1.62234,1.34848,0,0.57677,0.46326,0.46097,0.2437,0.53109,0.4476,0.40742,0.16473,1.8305,3.0065,1.82304,1.62389,0,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
92,7838.73,1.3692,2.17047,1.46945,1.30377,0,0.55253,0.48906,0.48344,0.25445,0.51964,0.43498,0.40448,0.173,1.81735,3.04272,1.79227,1.61766,0,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614
93,7915.44,1.32577,2.13283,1.42597,1.28594,0,0.53364,0.50494,0.4742,0.25406,0.50029,0.44518,0.3992,0.1722,1.80523,3.01588,1.7877,1.60274,0,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
94,7992.71,1.32707,2.13216,1.39533,1.28623,0,0.53418,0.48397,0.46102,0.24604,0.48126,0.4365,0.38784,0.16971,1.79426,2.98444,1.81799,1.5877,0,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332
